serialNumber,timestamp,unitPeriodUsage,typeid
F30200C8,1494378000000,12.82,62
F30200C8,1494378900000,26.28,62
F30200C8,1494379800000,26.31,62
F30200C8,1494380700000,13.58,62
F30200C8,1494381600000,0,62
F30200C8,1494382500000,8.25,62
F30200C8,1494383400000,26.34,62
F30200C8,1494384300000,26.31,62
F30200C8,1494385200000,26.34,62
F30200C8,1494386100000,1.73,62
F30200C8,1494387000000,3.77,62
F30200C8,1494387900000,26.34,62
F30200C8,1494388800000,26.34,62
F30200C8,1494389700000,24.93,62
F30200C8,1494390600000,0,62
F30200C8,1494391500000,0,62
F30200C8,1494392400000,7.34,62
F30200C8,1494393300000,26.16,62
F30200C8,1494394200000,26.34,62
F30200C8,1494395100000,7.29,62
F30200C8,1494396000000,0,62
F30200C8,1494396900000,0,62
F30200C8,1494397800000,20.43,62
F30200C8,1494398700000,26.31,62
F30200C8,1494399600000,18.73,62
F30200C8,1494400500000,0,62
F30200C8,1494401400000,0,62
F30200C8,1494402300000,7.81,62
F30200C8,1494403200000,26.34,62
F30200C8,1494404100000,26.22,62
F30200C8,1494405000000,5.62,62
F30200C8,1494405900000,0,62
F30200C8,1494406800000,0,62
F30200C8,1494407700000,19.25,62
F30200C8,1494408600000,26.31,62
F30200C8,1494409500000,18.49,62
F30200C8,1494410400000,0,62
F30200C8,1494411300000,0,62
F30200C8,1494412200000,5.68,62
F30200C8,1494413100000,26.34,62
F30200C8,1494414000000,26.34,62
F30200C8,1494414900000,5.41,62
F30200C8,1494415800000,0,62
F30200C8,1494416700000,0,62
F30200C8,1494417600000,18.29,62
F30200C8,1494418500000,26.28,62
F30200C8,1494419400000,19.9,62
F30200C8,1494420300000,0,62
F30200C8,1494421200000,0,62
F30200C8,1494422100000,1.93,62
F30200C8,1494423000000,26.34,62
F30200C8,1494423900000,26.31,62
F30200C8,1494424800000,8.81,62
F30200C8,1494425700000,0,62
F30200C8,1494426600000,0,62
F30200C8,1494427500000,0,62
F30200C8,1494428400000,26.22,62
F30200C8,1494429300000,15.25,62
F30200C8,1494430200000,0,62
F30200C8,1494431100000,0,62
F30200C8,1494432000000,0,62
F30200C8,1494432900000,7.61,62
F30200C8,1494433800000,26.28,62
F30200C8,1494434700000,26.34,62
F30200C8,1494435600000,3.22,62
F30200C8,1494436500000,0,62
F30200C8,1494437400000,0,62
F30200C8,1494438300000,23.12,62
F30200C8,1494439200000,26.34,62
F30200C8,1494440100000,13.46,62
F30200C8,1494441000000,0,62
F30200C8,1494441900000,0,62
F30200C8,1494442800000,12.5,62
F30200C8,1494443700000,26.28,62
F30200C8,1494444600000,24.38,62
F30200C8,1494445500000,0,62
F30200C8,1494446400000,0,62
F30200C8,1494447300000,0.2,62
F30200C8,1494448200000,26.31,62
F30200C8,1494449100000,26.34,62
F30200C8,1494450000000,26.34,62
F30200C8,1494450900000,9.77,62
F30200C8,1494451800000,0,62
F30200C8,1494452700000,14.22,62
F30200C8,1494453600000,26.34,62
F30200C8,1494454500000,21.92,62
F30200C8,1494455400000,0,62
F30200C8,1494456300000,0,62
F30200C8,1494457200000,4.36,62
F30200C8,1494458100000,26.22,62
F30200C8,1494459000000,26.28,62
F30200C8,1494459900000,26.28,62
F30200C8,1494460800000,5.82,62
F30200C8,1494461700000,0,62
F30200C8,1494462600000,20.51,62
F30200C8,1494463500000,26.28,62
F30200C8,1494464400000,20.02,62
F30200C8,1494465300000,0,62
F30200C8,1494466200000,0,62
F30200C8,1494467100000,9.04,62
F30200C8,1494468000000,26.34,62
F30200C8,1494468900000,26.25,62
F30200C8,1494469800000,3.42,62
F30200C8,1494470700000,0,62
F30200C8,1494471600000,0,62
F30200C8,1494472500000,24.61,62
F30200C8,1494473400000,26.34,62
F30200C8,1494474300000,14.31,62
F30200C8,1494475200000,0,62
F30200C8,1494476100000,0,62
F30200C8,1494477000000,12.93,62
F30200C8,1494477900000,26.34,62
F30200C8,1494478800000,24.2,62
F30200C8,1494479700000,0,62
F30200C8,1494480600000,0,62
F30200C8,1494481500000,2.75,62
F30200C8,1494482400000,26.34,62
F30200C8,1494483300000,26.28,62
F30200C8,1494484200000,7.7,62
F30200C8,1494485100000,0,62
F30200C8,1494486000000,0,62
F30200C8,1494486900000,18.64,62
F30200C8,1494487800000,26.34,62
F30200C8,1494488700000,17.73,62
F30200C8,1494489600000,0,62
F30200C8,1494490500000,0,62
F30200C8,1494491400000,7.96,62
F30200C8,1494492300000,26.19,62
F30200C8,1494493200000,26.34,62
F30200C8,1494494100000,2.31,62
F30200C8,1494495000000,0,62
F30200C8,1494495900000,0,62
F30200C8,1494496800000,22.18,62
F30200C8,1494497700000,26.22,62
F30200C8,1494498600000,13.34,62
F30200C8,1494499500000,0,62
F30200C8,1494500400000,0,62
F30200C8,1494501300000,10.65,62
F30200C8,1494502200000,26.34,62
F30200C8,1494503100000,24.55,62
F30200C8,1494504000000,0,62
F30200C8,1494504900000,0,62
F30200C8,1494505800000,0,62
F30200C8,1494506700000,24.67,62
F30200C8,1494507600000,26.31,62
F30200C8,1494508500000,10.07,62
F30200C8,1494509400000,0,62
F30200C8,1494510300000,0,62
F30200C8,1494511200000,11.88,62
F30200C8,1494512100000,26.28,62
F30200C8,1494513000000,22.53,62
F30200C8,1494513900000,0,62
F30200C8,1494514800000,0,62
F30200C8,1494515700000,2.72,62
F30200C8,1494516600000,26.31,62
F30200C8,1494517500000,26.34,62
F30200C8,1494518400000,4.71,62
F30200C8,1494519300000,0,62
F30200C8,1494520200000,0,62
F30200C8,1494521100000,16.07,62
F30200C8,1494522000000,26.34,62
F30200C8,1494522900000,20.48,62
F30200C8,1494523800000,0,62
F30200C8,1494524700000,0,62
F30200C8,1494525600000,0.09,62
F30200C8,1494526500000,25.31,62
F30200C8,1494527400000,26.28,62
F30200C8,1494528300000,9.69,62
F30200C8,1494529200000,0,62
F30200C8,1494530100000,0,62
F30200C8,1494531000000,17.56,62
F30200C8,1494531900000,26.34,62
F30200C8,1494532800000,15.42,62
F30200C8,1494533700000,0,62
F30200C8,1494534600000,0,62
F30200C8,1494535500000,3.63,62
F30200C8,1494536400000,26.34,62
F30200C8,1494537300000,26.31,62
F30200C8,1494538200000,3.16,62
F30200C8,1494539100000,0,62
F30200C8,1494540000000,0,62
F30200C8,1494540900000,0,62
F30200C8,1494541800000,0,62
F30200C8,1494542700000,10.65,62
F30200C8,1494543600000,26.34,62
F30200C8,1494544500000,26.34,62
F30200C8,1494545400000,25.63,62
F30200C8,1494546300000,0,62
F30200C8,1494547200000,0,62
F30200C8,1494548100000,0,62
F30200C8,1494549000000,0,62
F30200C8,1494549900000,17.65,62
F30200C8,1494550800000,26.31,62
F30200C8,1494551700000,19.08,62
F30200C8,1494552600000,0,62
F30200C8,1494553500000,0,62
F30200C8,1494554400000,9.07,62
F30200C8,1494555300000,26.34,62
F30200C8,1494556200000,24.76,62
F30200C8,1494557100000,0,62
F30200C8,1494558000000,0,62
F30200C8,1494558900000,4.71,62
F30200C8,1494559800000,26.34,62
F30200C8,1494560700000,26.28,62
F30200C8,1494561600000,3.01,62
F30200C8,1494562500000,0,62
F30200C8,1494563400000,0.79,62
F30200C8,1494564300000,26.19,62
F30200C8,1494565200000,26.34,62
F30200C8,1494566100000,6.88,62
F30200C8,1494567000000,0,62
F30200C8,1494567900000,0,62
F30200C8,1494568800000,24.23,62
F30200C8,1494569700000,26.34,62
F30200C8,1494570600000,10.68,62
F30200C8,1494571500000,0,62
F30200C8,1494572400000,0,62
F30200C8,1494573300000,20.57,62
F30200C8,1494574200000,26.34,62
F30200C8,1494575100000,12.32,62
F30200C8,1494576000000,0,62
F30200C8,1494576900000,0,62
F30200C8,1494577800000,16.97,62
F30200C8,1494578700000,26.28,62
F30200C8,1494579600000,17.59,62
F30200C8,1494580500000,0,62
F30200C8,1494581400000,0,62
F30200C8,1494582300000,12.64,62
F30200C8,1494583200000,26.34,62
F30200C8,1494584100000,22.94,62
F30200C8,1494585000000,0,62
F30200C8,1494585900000,0,62
F30200C8,1494586800000,5.62,62
F30200C8,1494587700000,26.34,62
F30200C8,1494588600000,25.78,62
F30200C8,1494589500000,1.49,62
F30200C8,1494590400000,0,62
F30200C8,1494591300000,0.41,62
F30200C8,1494592200000,26.34,62
F30200C8,1494593100000,26.22,62
F30200C8,1494594000000,6.41,62
F30200C8,1494594900000,0,62
F30200C8,1494595800000,0,62
F30200C8,1494596700000,21.24,62
F30200C8,1494597600000,26.34,62
F30200C8,1494598500000,12.11,62
F30200C8,1494599400000,0,62
F30200C8,1494600300000,0,62
F30200C8,1494601200000,14.66,62
